Gene,Protein,Location,Methodology
AT2G20760,MAP3KE1,,
AT5G66460,MAPKKK7,,
AT3G18980,ATG8H,,
AT1G70600,AtPERK12,,
AT3G10690,IGI1,,
AT1G15690,PERK12,,
AT2G31380,AVA-P4,,
AT2G41670,SINAT2,,
AT5G06250,ATCLC-D,,
AT3G61870,CLC-D,,
AT1G08210,ACT11,,
AT4G00360,COPT3,,
ATMG01340,RPL12-B,,
AT1G61520,DOT2,,
AT1G14340,MDF,,
AT1G05620,EXL7,,
AT1G14610,TCL1,,
AT1G61120,ATPAO2,,
AT1G14345,PAO2,,
AT5G14250,LRL1,,
AT3G16850,CPFTSY,,
AT3G12370,FRD4,,
AT1G74270,RIN13,,
AT3G19580,AtRLP19,,
AT1G73805,RLP19,,
AT3G20400,ACA10,,
AT2G45990,ATACA10,,
AT1G76990,CIF1,,
AT1G79840,SPL1,,
AT1G13690,WOX4,,
AT3G07320,GAUT14,,
AT5G13690,GGT3,,
AT4G01410,GGT4,,
AT5G56900,RHS18,,
AT4G01940,AP19,,
AT5G56450,ATCB5-B,,
AT5G51480,B5 #4,,
AT3G11670,CB5-B,,
AT4G38270,CYTB5-D,,
AT5G09290,DEL1,,
AT3G22231,E2FE,,
AT3G22230,E2L3,,
AT4G33495,UMAMIT33,,
AT3G05680,FDH,,
AT5G39860,AtTPR1,,
AT4G32390,TPR1,,
AT4G09580,EIF(ISO)4E,,
AT2G18380,EIF4E2,,
AT1G78710,eIFiso4E,,
AT3G55370,LSP,,
AT1G18510,LSP1,,
AT3G02660,AtNIK2,,
AT1G18040,NIK2,,
AT4G00090,CHR23,,
AT4G36880,SHM2,,
AT5G10770,SUV2,,
AT5G14430,SAMC2,,
AT5G10950,MEE18,,
AT1G48260,GPP1,,
AT1G33240,LCR28,,
AT4G14605,ACC4,,
AT3G54320,ACS4,,
AT1G48267,ATACS4,,
AT4G30860,OVA4,,
AT1G56680,FLN2,,
AT1G03190,TRNT.1,,
AT2G33830,MIR851A,,
AT3G07720,ATUXS3,,
AT2G33380,UXS3,,
AT1G20350,PDE324,,
AT2G23930,PTAC3,,
AT2G23520,VEL3,,
AT2G18120,VIL4,,
AT5G24530,EIF2 GAMMA,,
AT2G18650,TUB5,,
AT5G24240,ARPC4,,
AT1G77380,SCRL20,,
AT2G41720,DMT02,,
AT3G27070,DMT2,,
AT4G32640,MET02,,
AT5G58620,MET2,,
AT4G36080,MCCB,,
AT3G12800,ATGSTU23,,
AT1G55260,GSTU23,,
AT1G22710,DRP3B,,
AT4G23300,TPPE,,
AT2G40100,WIP3,,
AT5G58150,AFO,,
AT2G47730,FIL,,
AT4G37100,YAB1,,
AT3G11980,IMS3,,
AT3G07630,MAM1,,
AT1G66470,UMAMIT38,,
AT2G19385,ATSPT1,,
AT2G19830,SPT1,,
AT5G35100,ATCRA1,,
AT1G03960,CRA1,,
AT4G23650,CRU1,,
AT4G27550,AtMAN7,,
AT5G59820,MAN7,,
AT5G49930,ETP1,,
AT5G20090,GYRA,,
AT5G20540,AtAVP1,,
AT5G23270,ATAVP3,,
AT1G62770,AtVHP1;1,,
AT3G54770,AVP-3,,
AT1G67290,AVP1,,
AT5G12230,FUGU5,,
AT2G03770,VHP1,,
AT1G80260,BBX25,,
AT2G44640,STH,,
AT3G14770,DPA4,,
AT3G58600,ATT1,,
AT1G04530,CYP86A2,,
AT5G52360,TRNM.2,,
AT4G29480,LHCA3,,
AT3G62570,NSH2,,
AT1G09450,URH2,,
AT2G32120,TWN2,,
AT5G14920,VALRS,,
AT3G56860,GES,,
AT3G50470,TPS04,,
AT3G14950,TPS4,,
AT2G05990,COP13,,
AT1G09180,CSN3,,
AT1G17860,FUS11,,
AT1G13520,AZF2,,
AT5G05770,ZF2,,
AT5G49020,SARD1,,
AT3G09790,EMB2743,,
AT1G67690,ACR3,,
AT5G56500,GL2,,
AT4G02130,ATE1,,
AT2G04340,CYL1,,
AT3G20860,NAGLU,,
AT3G19640,AtCNFU1,,
AT3G20865,NFU1,,
AT2G15690,PM-ANT,,
AT2G43030,SKS2,,
AT5G57130,DGD1,,
AT1G55880,GAUT3,,
AT1G29990,PCC1,,
AT2G32260,RPD1,,
AT5G22200,EMB2016,,
AT5G06450,BHLH136,,
AT4G33110,BNQ1,,
AT2G19520,PRE1,,
AT3G16150,GATA20,,
AT3G15000,HANL1,,
AT3G51680,TBL42,,
AT5G25110,OBP3,,
AT2G35960,TET16,,
AT3G27830,EMB2768,,
AT5G65110,FAC31,,
AT5G01890,AT;CDCKD;3,,
AT5G49830,CAK2AT,,
AT5G19610,CDKD1;3,,
AT1G15870,CP1,,
AT1G58100,CIPK17,,
AT1G75420,SnRK3.21,,
AT1G58450,AT-GTL1,,
AT3G15290,ATGTL1,,
AT5G64240,GTL1,,
AT5G02010,MDA1,,
AT3G06170,ASML1,,
AT1G15970,ATWRI1,,
AT5G38435,WRI,,
AT5G53140,WRI1,,
AT5G64600,MIR161,,
AT1G29195,ASHR3,,
AT2G32990,SDG4,,
AT1G29660,ATXPD,,
AT1G53300,UVH6,,
AT3G05090,AtDRM2,,
AT2G43900,DRM2,,
AT2G25060,AtCLO3,,
AT3G26310,CLO-3,,
AT5G15920,CLO3,,
AT1G03030,RD20,,
AT5G13320,ATTIM17-1,,
AT4G33070,TIM17-1,,
AT5G13450,SNRNP-G,,
AT5G12235,SRS4,,
AT4G17050,DMR6,,
AT4G21220,MEE16,,
AT3G24180,AAP3,,
AT1G27090,ATAAP3,,
AT3G53920,EMB2654,,
AT1G65920,TOM20-1,,
AT4G25450,DECR,,
AT1G30630,SDRB,,
AT1G54350,ATSUC2,,
AT2G35510,SUC2,,
AT5G59150,SUT1,,
AT2G03520,CRK22,,
AT5G43010,LHCB4.3,,
AT1G71380,ATGSTF5,,
AT5G20890,ATGSTF8,,
AT4G19390,GST6,,
AT1G73150,GSTF8,,
AT3G52030,FAR2,,
AT4G37910,MS2,,
AT1G50450,ADT2,,
AT2G02120,AtADT2,,
AT3G13180,AtRHD6,,
AT4G27970,RHD6,,
AT2G43690,SNF7.2,,
AT3G57020,VPS32,,
AT3G21110,CDPK6,,
AT3G05890,CPK3,,
AT4G05410,ATTPS4,,
AT1G69920,TPS4,,
AT1G11475,AtZAT12,,
AT5G55835,RHL41,,
AT5G07190,ZAT12,,
AT1G20375,emb1441,,
AT1G74710,ATBRXL4,,
AT1G20370,BRX-LIKE4,,
AT5G48600,BRXL4,,
AT4G14622,ATSTP11,,
AT5G47860,STP11,,
AT1G65690,ARP1,,
AT3G47070,GLOX1,,
AT5G51100,MED19A,,
AT5G38420,AtSULT202E1,,
AT2G45760,SULT202E1,,
AT4G12480,emb1427,,
AT1G10870,AtSWEET2,,
AT5G06670,SWEET2,,
AT3G10985,TPR4,,
AT1G06460,ADF10,,
AT3G10980,AtHaspin,,
ATMG01090,Haspin,,
AT5G53160,HSP70T-2,,
AT4G13750,GASA14,,
AT5G09840,UBA2A,,
AT5G58465,HR3,,
AT5G58460,MLA10,,
AT5G03630,TTL2,,
AT3G26580,ENR1,,
AT2G42380,MOD1,,
AT5G50717,ATSAR1,,
AT4G38690,ATSARA1A,,
AT5G05810,SARA1A,,
AT3G12580,WOX5A,,
AT5G48610,WOX7,,
AT1G79090,ATPRMT4A,,
AT4G24770,PRMT4A,,
AT2G33600,UBQ8,,
AT2G38650,Cpn60beta3,,
AT3G28730,GATL6,,
AT3G56190,LGT10,,
AT2G26780,ATNEK5,,
AT2G29570,NEK5,,
AT5G16660,MGT4,,
AT1G45616,MRS2-3,,
AT5G45190,AGP40,,
AT3G24225,SMXL5,,
AT5G15640,PFD6,,
AT5G18230,ATCCT1,,
AT2G31260,CCT1,,
AT5G18540,ACG1,,
AT5G57260,ATMSI4,,
AT2G28950,FVE,,
AT1G80860,MSI4,,
AT4G03060-Cvi,NFC04,,
