Gene,Protein,Location,Methodology
AT2G26170,MYB3R-3,,
AT5G64100,NSH4,,
AT1G03080,CIP8,,
AT4G33000,ACAM-2,,
AT5G44740,CAM5,,
AT3G13400,AtENODL20,,
AT1G17760,ENODL20,,
AT1G27020,EXGT-A4,,
AT5G13370,XTH5,,
AT5G51660,ABCG16,,
AT1G74950,ATPMEPCRA,,
AT1G13860,PMEPCRA,,
AT1G54385,AtRLP55,,
AT2G03280,RLP55,,
AT2G38940,BOP2,,
AT5G43060,ATCPK5,,
AT5G53800,CPK5,,
ATMG00040,LRB1,,
AT3G18550,EXT10,,
AT3G20810,NAKR3,,
AT3G25860,ATH5,,
AT1G16140,ATTRX5,,
AT5G34930,LIV1,,
AT3G57090,TRX-h5,,
AT5G58784,TRX5,,
AT4G05190,RRN23S.2,,
AT5G58780,PEPKR1,,
AT1G11420,MOS2,,
AT1G09140,ATBCA3,,
AT3G21140,BCA3,,
AT1G20693,MCM10,,
AT1G20696,TAF15,,
AT5G55310,CCoAOMT7,,
AT3G47550,ATPIN7,,
AT4G05508,PIN7,,
AT3G47000,ATFC-I,,
AT2G36390,FC-I,,
AT5G25480,FC1,,
AT5G18290,ATJ2,,
AT2G33160,J2,,
AT5G06720,ATCPK26,,
AT2G19190,CPK26,,
AT2G13540,ATFLS5,,
AT1G71530,FLS5,,
AT3G10280,PMP22,,
AT1G28320,MIR860A,,
AT1G50710,KAC2,,
AT5G62410,KCA2,,
AT5G02590,PAA2,,
AT4G23550,SNL6,,
AT1G76730,BSK1,,
AT4G37490,TT1,,
AT1G80340,WIP1,,
AT5G07320,ATGLR2.8,,
AT1G78930,GLR2.8,,
AT2G27860,GLR2.8,,
AT1G54830,AtPME41,,
AT4G04570,ATPMEPCRB,,
AT1G52400,PME41,,
AT4G12780,AHBP-1B,,
AT1G34140,TGA2,,
AT1G10590,ORF116,,
AT2G24360,SADHU5-2,,
AT3G28210,RALFL25,,
AT1G68060,RLM1,,
AT2G26730,MLP43,,
AT2G29500,UPL6,,
AT4G30200,CHA19,,
AT3G13620,CHR19,,
ATMG00090,ETL1,,
AT4G37270,GAUT1,,
AT4G22105,LGT1,,
AT3G03500,AXY4,,
AT5G58250,TBL27,,
AT5G28040,GA2OX5,,
AT2G02150,IMPA-9,,
AT5G28510,AGC1.5,,
AT1G70330,FAD2,,
AT5G45670,ATXIB,,
AT4G38420,XI-8,,
AT4G14030,XI-B,,
AT4G10060,XIB,,
AT3G55530,scpl10,,
AT5G01580,DEG5,,
AT4G14785,DEGP5,,
AT3G12280,HHOA,,
AT1G04080,ATNAF1,,
AT5G57030,NAF1,,
AT2G42590,ATROPGEF10,,
AT5G08141,GEF10,,
AT4G34270,ROPGEF10,,
AT3G53790,CYP81F3,,
AT3G47790,ACLA-1,,
AT1G65040,AtTHO7,,
AT4G18270,THO7,,
AT1G71820,PYL7,,
AT5G59030,RCAR2,,
AT3G11550,AHA7,,
AT5G23580,HA7,,
AT2G45640,GATL9,,
AT1G08410,LGT8,,
AT1G21070,DRP5A,,
AT2G35210,ATPROT1,,
AT2G26880,PROT1,,
AT5G50200,scpl50,,
AT1G01900,ATRBOHB,,
AT5G17030,ATRBOHB-BETA,,
AT2G43420,RBOHB,,
AT4G13780,EDL1,,
AT5G50280,EMB2289,,
AT5G09810,SCY2,,
AT5G58430,ACK2,,
AT5G43890,ICK7,,
AT1G73460,KRP4,,
AT3G16700,KRP4,,
AT3G19160,AKR2B,,
AT3G05720,AtIPCS2,,
AT5G38830,ERH1,,
AT5G57960,ATFTA,,
AT4G39840,FTA,,
AT5G66080,PFT/PGGT-IALPHA,,
AT5G20854,PLP,,
AT5G04330,MMD1,,
AT5G08490,ATATM,,
AT2G30140,ATM,,
AT5G19260,PIG1,,
AT5G27390,CPuORF11,,
AT4G39590,ATOXS3,,
AT1G60490,OXS3,,
AT3G29035,LUL2,,
AT2G18460,GFAT,,
AT3G29030,ARPC1,,
AT1G37140,ARPC1A,,
AT2G25280,ADF11,,
AT2G28670,APC7,,
AT5G11470,AtAPC7,,
AT2G28900,ATEXO70E1,,
AT3G44110,EXO70E1,,
AT5G14540,SP1L2,,
AT5G14010,HAT9,,
AT2G37640,PAPS2,,
AT3G01150,mCSF1,,
AT5G14545,PSBD,,
AT3G48670,YIP4a,,
AT5G66880,ATISU2,,
AT3G48850,ISU2,,
AT2G34690,ORP4B,,
AT4G15250,XTH15,,
AT4G15258,XTR7,,
AT5G56780,SAF1,,
AT2G04410,ABF3,,
AT1G56150,AtABF3,,
AT1G19080,DPBF5,,
AT1G53920,CYP89A7,,
AT3G09600,AtXTH12,,
AT3G59360,XTH12,,
AT5G11190,AAE3,,
AT1G78960,LBD22,,
AT5G58920,ATMYB37,,
AT3G49670,MYB37,,
AT5G24920,RAX1,,
AT4G20090,IAGLU,,
AT1G02900,KLCR3,,
AT4G20095,AtTHO2,,
AT5G41290,EMB2793,,
AT3G02790,THO2,,
AT1G61810,AtMYB55,,
AT2G19940,MYB55,,
AT4G33790,GCL2,,
AT2G19760,REM39,,
AT2G40690,VRN1,,
AT4G15780,BT3,,
AT3G08530,NRPB6A,,
AT5G03390,NRPD6A,,
AT3G63540,NRPE6A,,
AT3G63010,ARLA1D,,
AT5G52552,ATARLA1D,,
AT3G51240,CYP94B2,,
AT5G23250,EMB2816,,
AT1G32480,LSM7,,
AT2G26590,CPuORF18,,
AT1G19880,At-RS31,,
AT5G43525,ATRSP31,,
AT3G59020,RS31,,
AT1G67940,RSP31,,
AT1G32240,OTP51,,
AT5G39400,CHR4,,
AT5G09360,PKR1,,
AT5G15948,ATEXP26,,
AT4G20890,ATHEXP ALPHA 1.16,,
AT2G36660,EXP26,,
AT2G41340,EXP26,,
AT5G13510,ECT4,,
AT1G61720,AtIDD16,,
AT5G36790,IDD16,,
ATCG00790,APM4,,
AT3G06230,ATPEX12,,
AT4G09430,PEX12,,
AT3G24900,ATPUP20,,
AT3G19700,ANTR2,,
AT4G17895,PHT4;4,,
AT1G14100,AIL5,,
AT3G23300,CHO1,,
AT1G18680,EMK,,
AT3G07520,PLT5,,
AT1G13100,PUR4,,
AT3G24300,ATI1,,
AT5G35210,CS17,,
AT3G01770,PDE347,,
AT1G79680,PRPS17,,
AT1G13450,RPS17,,
AT3G59790,TPR3,,
AT5G25520,ATRAB1A,,
AT1G62390,ATRABD2B,,
AT4G22490,RAB1A,,
AT4G33150,FDM3,,
AT5G24150,RWA2,,
AT1G76130,FDM1,,
AT1G77760,IDNL1,,
AT5G59420,IDP1,,
AT3G60590,ATEIF3C-1,,
AT4G32150,ATTIF3C1,,
AT2G18400,EIF3C,,
AT2G16780,EIF3C-1,,
AT1G52380,TIF3C1,,
AT5G60450,NRPB6B,,
AT1G59650,NRPE6B,,
AT1G18350,APS2,,
AT2G47640,ASA1,,
AT3G26190,AtSTS,,
AT5G10240,RS4,,
AT2G22500,STS,,
AT1G58290,SKIP2,,
AT1G58520,VFB4,,
AT2G27050,EXT12,,
AT3G47630,ETFALPHA,,
AT5G05200,AtPEX19-1,,
AT1G17370,PEX19-1,,
AT5G55740,ATPDI6,,
AT2G46590,ATPDIL1-2,,
AT1G54170,PDI6,,
AT5G63810,PDIL1-2,,
AT3G09660,ATVSP1,,
AT2G46320,VSP1,,
AT2G31955,ATERF3,,
AT4G16520,ERF3,,
AT2G31957,ATTSC13,,
AT2G07180,CER10,,
AT2G36270,ECR,,
AT5G18810,TSC13,,
AT2G23630,UNE16,,
AT3G55050,ATISA3,,
AT2G16250,ISA3,,
AT5G20050,ACO1,,
AT1G75940,ATACO1,,
AT4G26000,BEE2,,
AT1G35730,atnudt8,,
AT1G31010,NUDT8,,
AT3G05210,TET11,,
AT4G17788,PRPL35,,
AT1G63660,RGLG2,,
AT4G23010,IRX14,,
AT1G21910,AtUGT85A4,,
AT2G47420,UGT85A4,,
AT3G56910,anac044,,
AT4G12570,NAC044,,
AT3G53890,ATMBAC1,,
AT5G61410,BAC1,,
AT3G56400,MBAC1,,
AT2G03140,AT2301,,
AT3G54200,ATGA20OX1,,
AT3G20155,GA20OX1,,
AT1G49190,GA5,,
AT4G37060,GCR1,,
AT1G50380,ATSBT3.3,,
AT2G02810,SBT3.3,,
AT2G02360,ATMUS81,,
AT5G48945,MUS81,,
AT3G01910,ATTTG1,,
AT1G31290,TTG,,
AT3G27100,TTG1,,
AT4G23150,URM23,,
AT1G09610,AtGAMT1,,
AT5G55140,GAMT1,,
AT5G58800,MIR165,,
AT1G17480,MIR165B,,
AT1G69935,GAE3,,
AT3G10340,ATKC1,,
AT3G10610,AtLKT1,,
AT4G12310,KAT3,,
AT5G45860,KC1,,
AT3G20480,AtPNP-A,,
AT1G16420,PNP-A,,
AT1G16350,BAM4,,
AT1G22250,BMY6,,
AT2G22920,AtcPT9,,
AT1G34220,cPT9,,
AT5G50430,TRFL2,,
AT3G20370,ATELF5A-2,,
AT4G12920,ELF5A-2,,
AT1G70810,FBR12,,
AT1G29750,UNE4,,
AT2G39970,APP1,,
AT3G56450,ATAPP1,,
AT2G01080,DAR7,,
AT3G19990,AtPPT1,,
AT3G17980,PPT1,,
AT4G31930,LBD9,,
AT5G45340,GBF4,,
AT1G66370,ATEIF3B-2,,
AT3G50920,EIF3B,,
AT5G13290,EIF3B-2,,
AT3G45890,ASY3,,
AT2G03160,AtASY3,,
AT3G47490,RTH,,
AT5G65970,ATCNGC12,,
AT1G51650,CNGC12,,
AT5G65750,YUC11,,
AT1G78090,PRA1.H,,
AT3G09200,ORF117,,
AT2G35120,SVR7,,
AT5G16710,PPR596,,
AT3G52140,ATRAP,,
AT4G37680,RAP,,
AT1G50520,ATTS1,,
AT1G07970,TS1,,
AT2G20815,ATCOAB,,
AT2G39810,COAB,,
AT2G20810,ATMYB3R-1,,
AT4G13950,ATMYB3R1,,
AT1G64230,MYB3R-1,,
ATCG00500,MYB3R1,,
AT2G01430,PC-MYB1,,
AT5G41100,LAC5,,
AT1G20200,MAP65-2,,
AT4G33945,IAA34,,
AT4G34260,SAG101,,
AT3G02900,AtRLP33,,
AT4G21710,RLP33,,
AT4G23210,ANAC083,,
AT3G25020,NAC083,,
AT1G10900,VNI2,,
AT1G30520,MIR164,,
AT5G45590,MIR164A,,
AT4G02680,PUB43,,
AT5G62190,AREB3,,
AT4G00950,DPBF3,,
AT3G52850,ATATE1,,
AT2G01670,ATE1,,
AT1G32520,DLS1,,
AT5G43850,CML24,,
AT2G19680,TCH2,,
AT1G36925,GLYR2,,
AT1G69560,GR2,,
AT3G17390,PMI2,,
AT5G53010,WEB2,,
AT3G21420,HTA11,,
AT5G03780,EMB2777,,
AT1G11360,IQD29,,
AT4G25720,ANAC042,,
AT3G12610,JUB1,,
AT4G28590,NAC042,,
AT2G42100,ZIP3,,
AT2G42450,CYP71B11,,
AT2G38140,IAA19,,
AT3G12200,MSG2,,
AT5G20320,AtMYB76,,
AT3G14110,MYB76,,
AT3G54260,DAFL2,,
AT5G11040,PNM1,,
AT1G20700,CYP96A5,,
AT5G37300,GCL1,,
AT1G60800,APC1,,
AT1G54390,EMB2771,,
AT5G18650,ATUBC22,,
AT3G61570,UBC22,,
AT1G70670,ATMYB96,,
AT5G03430,MYB96,,
AT3G13330,MYBCOV1,,
AT4G20390,FMO GS-OX2,,
AT5G18380,ABF4,,
AT2G31310,AREB2,,
AT4G38850,ATPP2-A4,,
AT3G02360,PP2-A4,,
AT4G09153,AtGRP4,,
AT1G52670,GR-RBP4,,
AT5G46370,GRP4,,
AT2G43820,ORF106F,,
AT4G37000,MAKR2,,
AT2G21280,HAM1,,
AT1G47230,ORTH2,,
AT4G28620,VIM1,,
AT4G35130,PIRL2,,
AT3G48110,CLPR4,,
AT2G38360,HON5,,
AT5G04780,ALAAT2,,
AT5G23880,IQD11,,
AT4G39100,ASK13,,
AT5G19380,SK13,,
AT1G15440,cICDH,,
AT3G49240,HSR8,,
AT2G31170,MUR4,,
AT2G25940,UXE1,,
AT5G28850,PCK2,,
AT3G19620,PEPCK,,
AT3G44300,ATATH8,,
AT4G32300,GC4,,
AT1G04690,U2.6,,
AT5G22420,AtFAR6,,
AT4G18040,FAR6,,
AT2G24010,scpl39,,
AT1G22520,LCR68,,
ATCG00390,PDF2.3,,
AT4G36810,GLIP6,,
ATCG01140,LCR71,,
AT3G27740,UBC9,,
AT1G72550,AtRLP47,,
AT4G24090,RLP47,,
AT5G59440,RCI2A,,
AT5G43400,AtSDF2,,
AT4G24660,ATSDL,,
AT5G23080,SDF2,,
AT4G35350,ATGSTU11,,
AT2G13360,GSTU11,,
AT5G57870,LSH8,,
ATMG00513,AtWRKY22,,
AT1G08990,WRKY22,,
AT3G63460,ATMMS21,,
ATMG00516,HPY2,,
AT3G18910,MMS21,,
AT1G05610,AHA6,,
AT3G01930,HA6,,
AT4G16060,ABO1,,
AT3G59550,AtELP1,,
AT1G32380,ELO2,,
AT3G21350,ATPPC2,,
AT3G02580,PPC2,,
AT1G71692,CYP735A1,,
AT2G18150,ftsh7,,
AT4G00800,ARR15,,
AT5G24830,QKY,,
AT1G55540,CPuORF52,,
AT4G10540,STPL,,
AT5G49900,WOX8,,
AT1G14860,WOX9B,,
AT5G42020,UFO,,
AT2G23190,ATEXPB2,,
AT5G22300,ATHEXP BETA 1.4,,
AT5G52050,EXPB2,,
AT1G04520,EMB2804,,
AT5G54840,ATPPC3,,
AT4G24890,PPC3,,
AT4G08116,ATHOL1,,
AT1G22780,HOL1,,
AT4G11490,CESA5,,
AT1G66400,MUM3,,
AT1G66150,MIR845B,,
AT2G01880,GTE6,,
AT1G08190,BOB1,,
AT1G48010,TUBG1,,
AT2G35170,BLH3,,
AT3G25420,ZFWD1,,
AT1G15990,EMB3119,,
AT1G19740,DiT1,,
AT4G09600,LBD26,,
AT1G49760,ATSOT18,,
AT2G01950,ATST5B,,
AT3G46040,SOT18,,
AT1G14710,CDKB1;2,,
AT3G23110,atcax2,,
AT3G23440,CAX2,,
AT4G00730,SSL2,,
AT1G47900,ENOC,,
AT4G25530,YIP4b,,
AT3G54430,ATCAX4,,
AT3G04570,CAX4,,
AT2G37430,TRNQ,,
AT3G27350,G6PD3,,
AT5G01550,CPK7,,
AT4G39990,AtCYP71,,
AT1G30500,CYP71,,
AT1G01460,SCRL4,,
AT5G27610,PXC1,,
AT5G58240,ATRGP2,,
AT1G13590,RGP2,,
AT2G01320,SUE4,,
AT4G27270,NDF6,,
AT1G48900,PnsB4,,
AT5G17920,PLA2-GAMMA,,
AT1G56360,AtENODL6,,
AT5G63310,ENODL6,,
AT5G63640,MEE31,,
AT5G64341,PMI1,,
AT1G55810,AGR,,
AT1G29920,AGR1,,
AT1G59359,ATPIN2,,
AT1G68750,EIR1,,
AT4G36100,MM31,,
AT5G60660,PIN2,,
AT3G46220,WAV6,,
AT2G22240,AtRLP46,,
AT3G21150,RLP46,,
AT4G23950,BGLU34,,
AT1G03310,TGG4,,
AT3G15090,AHAS,,
AT3G15095,ALS,,
AT4G17330,CSR1,,
AT3G07950,IMR1,,
AT5G47175,TZP5,,
AT3G60890,FRS11,,
AT1G54630,SSL3,,
AT1G58190,MIA,,
AT1G51460,PDR2,,
AT1G78540,PDR2,,
AT1G27140,ATGLN1;1,,
AT2G46900,ATGSR1,,
AT3G18000,GLN1;1,,
AT5G54590,GSR 1,,
AT5G39210,CEP1,,
AT4G22530,ORF100A,,
AT1G58210,CML42,,
AT3G04605,AtPERK4,,
AT3G04600,PERK4,,
AT3G51550,SIB2,,
AT5G48880,UAP56a,,
AT3G05000,ATCS,,
AT3G01050,CSY4,,
AT3G50970,GASA5,,
AT4G26630,ATPB,,
AT3G15890,PB,,
AT2G01600,SADHU4-1,,
AT1G35560,VICTR,,
AT5G35530,AT VAMP7B,,
AT2G26290,ATVAMP721,,
AT1G27000,VAMP721,,
AT5G55080,VAMP7B,,
AT5G51640,BGLU2,,
AT1G17745,WLIM2b,,
AT1G74970,FdC1,,
AT4G21940,ATPI4K GAMMA 1,,
AT5G43080,PI4K GAMMA 1,,
AT3G43860,AML3,,
AT2G04270,ML3,,
AT3G10110,AtdNK,,
AT1G71330,dNK,,
AT2G38960,MAPKKK21,,
AT2G40280,ATCAD4,,
AT3G28920,CAD,,
AT1G16160,CAD-C,,
AT5G53860,CAD4,,
AT1G77950,RPL32,,
AT5G07690,MSP-1,,
AT5G07120,OE33,,
AT1G11190,OEE1,,
AT1G04910,OEE33,,
AT5G48770,PSBO-1,,
AT5G03150,PSBO1,,
AT3G62330,OLE3,,
AT1G15100,OLEO4,,
AT3G17840,GDCH,,
AT4G28360,RAP2.11,,
AT3G13540,LPAT5,,
AT1G79530,CYP704A2,,
AT4G28365,TMO6,,
AT3G25820,ABCG35,,
AT3G47570,ATPDR7,,
AT2G13560,PDR7,,
AT3G14270,ATPME31,,
AT1G28340,PME31,,
AT5G64430,DTF1,,
AT5G04620,SHH1,,
AT3G54690,ARPC3,,
AT1G71160,PETD,,
AT5G45130,MBD3,,
AT1G71230,ATFAH2,,
AT1G50730,FAH2,,
AT1G29690,DVL21,,
AT1G46264,RTFL13,,
AT3G58180,ATIPT7,,
AT1G23490,IPT7,,
AT4G25430,GC2,,
AT4G38190,AAc1,,
AT5G55000,ACT1,,
AT4G38620,PER64,,
AT2G39620,JAL33,,
AT2G27840,PIP5K5,,
AT5G07340,SCRL6,,
AT5G10170,AFP2,,
AT4G21362,YCF2.2,,
AT1G04590,MAP1B,,
AT3G56690,MAP1C,,
AT1G10570,CYP71A26,,
AT3G56120,PMAT2,,
AT3G06580,GLIP2,,
AT1G54850,SCRL13,,
AT5G45105,AAO2,,
AT1G06780,AO3,,
AT5G20930,AOgamma,,
AT4G31950,atAO-2,,
AT5G20935,AtAO3,,
ATMG00070,UTr7,,
AT1G68000,AGL18,,
AT2G26710,HEI10,,
AT2G01490,ATPAP19,,
AT5G50590,PAP19,,
AT5G62690,ANN6,,
AT3G20740,ANNAT6,,
AT5G28060,GTE2,,
AT1G75140,ATPDX1,,
AT2G43620,ATPDX1.3,,
AT1G70310,PDX1,,
AT4G13235,PDX1.3,,
AT3G01580,RSR4,,
AT3G19830,MTSSB,,
AT5G58230,iPGAM2,,
AT5G26570,ATROPGEF2,,
AT3G12260,ROPGEF2,,
AT1G73660,AGL71,,
AT5G48450,POLAR,,
AT5G22130,MO1,,
AT4G38440,ATVIIIB,,
AT5G22630,VIIIB,,
AT5G42590,MEF21,,
AT3G06720,PRORP1,,
AT3G06050,FdC2,,
AT4G18210,EMB1303,,
AT2G37710,ACR7,,
AT1G71800,KMD3,,
AT1G10710,ORF215A,,
AT3G56340,CYCD3;3,,
AT2G05380,APG13,,
AT2G45660,ATMURE,,
AT2G29380,MURE,,
AT4G30080,PDE316,,
AT3G10800,YCF2.1,,
AT1G60650,TBL33,,
AT1G01920,UBI6,,
AT1G31360,UBQ6,,
AT5G65830,ATHSP23.6-MITO,,
AT1G76200,HSP23.6-MITO,,
AT1G07780,WCRKC1,,
AT3G61380,SAUR29,,
AT4G32610,AFB1,,
AT5G03840,ATGRH1,,
AT2G18620,GRH1,,
AT5G38810,LCR6,,
AT3G28940,AtHBP5,,
AT3G12400,HBP5,,
AT1G74360,MIR825A,,
AT5G19050,NRPD7,,
AT1G78850,ATSPP1,,
AT2G38770,SPP1,,
AT5G01370,ATVPS45,,
AT5G19240,BEN2,,
AT5G58850,VPS45,,
AT1G08695,ATPME7,,
AT2G45590,PME7,,
AT2G30160,GALT1,,
AT1G15290,ATRBP47A,,
AT1G19240,RBP47A,,
AT2G39175,CYP71B23,,
AT2G28650,VTC5,,
AT1G69350,NAI2,,
AT4G31130,TBL35,,
AT5G64210,ARF20,,
AT2G31780,ASK7,,
AT2G28380,SK7,,
AT3G55512,MIR447A,,
AT3G55800,ATSYP123,,
AT4G34740,SYP123,,
AT5G66870,ATMBF1C,,
AT3G48300,MBF1C,,
AT5G66860,TRFL3,,
AT3G48870,ATCRM1,,
AT5G14520,ATXPO1,,
AT4G39710,HIT2,,
AT4G30620,XPO1,,
AT3G03830,XPO1A,,
AT5G56760,APX1B,,
AT5G27110,APX2,,
AT3G61960,ATHB52,,
AT2G42840,HB52,,
AT5G20900,LBD2,,
AT2G15430,GH3.17,,
AT5G09690,ATGSL04,,
AT1G56170,atgsl4,,
AT5G57880,gsl04,,
AT1G25330,GSL04,,
AT2G41100,ATREV7,,
AT1G61290,REV7,,
AT5G36220,3BETAHSD/D2,,
AT2G17690,AT3BETAHSD/D2,,
AT3G02800,ATWRKY66,,
ATMG01030,WRKY66,,
AT2G17695,CYP712A1,,
AT3G16720,CYP705A9,,
AT2G42710,CPuORF57,,
AT3G07090,NACA3,,
AT1G49410,AtMSR2,,
AT3G08040,MSR2,,
AT2G39440,ERF104,,
AT3G08510,EDA32,,
AT3G63030,CYP94C1,,
AT1G72750,AP4M,,
AT1G05000,AtRLP24,,
AT2G45840,RLP24,,
AT5G65160,CAB4,,
AT3G22630,LHCA4,,
AT5G43500,FAB1D,,
AT4G01810,ATNYE1,,
AT3G63520,NYE1,,
AT1G69720,SGR,,
AT1G56280,CYP72A14,,
AT4G22700,ATBAG6,,
AT3G22180,BAG6,,
AT2G36640,BEH3,,
AT3G26740,ckl12,,
AT3G26744,CPuORF24,,
AT5G15090,ATHX,,
AT5G65165,ATX,,
AT4G09450,THX,,
AT5G38280,TRM11,,
AT3G23326,ATWRKY55,,
AT3G48360,WRKY55,,
AT2G39830,AtPP2-B5,,
AT3G02110,PP2-B5,,
AT5G14030,ATO2,,
AT1G47570,TO2,,
AT2G16740,ACS3,,
AT4G36480,PAPS1,,
AT5G10000,ATOEP16-4,,
AT5G44400,AK-HSDH,,
AT5G05190,AK-HSDH I,,
AT3G07540,BBX8,,
AT1G13120,ACCS7,,
AT1G43670,ACS7,,
AT3G42790,ATACS7,,
AT2G23430,ACA6,,
AT3G22980,ATACA6,,
AT3G16130,ENDO4,,
AT5G11710,RUS6,,
AT4G30130,ATRL2,,
AT5G39680,MEE3,,
AT2G23380,RSM1,,
AT4G32170,DRL1,,
AT1G44900,TKPR1,,
AT3G26295,ARR4,,
AT4G11880,ATRR1,,
AT2G18520,IBC7,,
AT3G26290,MEE7,,
AT1G55150,UCL1,,
AT3G13782,nMAT1,,
AT1G26150,UGP3,,
AT1G18370,CcdA,,
AT2G24630,ATMBD7,,
AT5G46690,MBD7,,
AT4G36660,PSAL,,
AT4G33920,VPS37-1,,
AT1G55480,ORF139A,,
AT5G60470,CYCB3;1,,
AT4G24280,CYP705A4,,
AT1G22640,ATNHX4,,
AT2G47990,NHX4,,
AT2G47620,AKT1,,
AT5G17710,ATAKT1,,
AT2G46570,KT1,,
AT1G59970,MEL1,,
AT5G61780,NPY5,,
AT2G21870,YCF5,,
AT1G48598,AtCML30,,
AT1G28420,CML30,,
AT5G63720,ATPEX7,,
AT4G33925,PEX7,,
AT2G36250,HSP60,,
AT5G18830,HSP60-3B,,
AT5G40690,MIR399A,,
AT5G63870,ATSTP4,,
AT3G51960,STP4,,
AT1G02520,ATHIP2,,
AT1G02250,ATTDX,,
AT1G80510,HIP,,
AT4G16500,TDX,,
AT3G23580,AtLpxA,,
AT4G26020,LpxA,,
AT3G58750,FRA3,,
AT1G35710,ARASP,,
AT1G55730,ATSRS,,
AT1G64920,OVA7,,
AT3G15260,SRS,,
AT1G75960,AtMTM2,,
AT2G40410,MTM2,,
AT5G08130,ATBPM2,,
AT2G47190,BPM2,,
AT5G42270,ATNCED2,,
AT1G17170,NCED2,,
AT3G03640,ATMPK12,,
AT4G07410,MAPK12,,
AT3G60950,MPK12,,
AT4G27730,CYCB2;2,,
AT4G02640,ABO6,,
AT1G06570,ABCG25,,
AT5G41910,ATABCG25,,
AT2G03120,MAC5C,,
AT4G12080,RPL12-C,,
AT5G20720,RTM2,,
AT1G12520,ATFC-II,,
AT3G04010,FC-II,,
AT5G39020,FC2,,
AT3G54220,FLA,,
AT1G67740,FRI,,
AT3G54990,RSB7,,
AT1G71697,ETC2,,
AT4G37040,PEX11D,,
AT3G25980,ATSERK2,,
AT3G18590,SERK2,,
AT1G18800,TCL2,,
AT1G29590,ORF275,,
AT1G23060,STN7,,
AT3G62800,AtPP2-A7,,
AT5G48960,PP2-A7,,
ATMG00200,NAD2,,
AT5G48965,NAD2.2,,
AT5G27680,NAD2B,,
AT1G09630,BON3,,
AT5G25260,DVL11,,
AT5G25265,RTFL8,,
AT3G50690,ATEXP4,,
AT1G80160,ATEXPA4,,
AT3G57130,ATHEXP ALPHA 1.6,,
AT3G27160,EXPA4,,
AT5G61250,ALE2,,
AT2G35410,ATGA2OX3,,
AT2G35690,GA2OX3,,
AT1G54280,MUB2,,
AT1G17350,ATMAP4K ALPHA1,,
AT5G05990,MCM6,,
AT5G02410,FTM6,,
AT4G02460,SPL4,,
AT1G06310,HMG2,,
AT4G02390,HMGR2,,
AT4G37470,AtBGAL5,,
AT5G06750,BGAL5,,
AT2G16700,ATEXP20,,
AT3G20350,ATEXPA20,,
AT3G25180,ATHEXP ALPHA 1.23,,
AT1G16400,EXP20,,
AT2G39990,EXPA20,,
AT2G43290,ROC1,,
AT1G49240,ALDH10A9,,
AT5G64570,ATWRKY33,,
AT3G46560,WRKY33,,
AT5G60950,EMB976,,
AT4G25390,ALB4,,
AT5G59550,ARTEMIS,,
AT2G32400,BPA1,,
AT5G07590,NFD2,,
AT2G25710,MUG2,,
AT1G14980,IRX15,,
AT3G60370,ATSPP2,,
AT5G23750,SPP2,,
AT3G15660,AtSGF29b,,
AT5G13720,SGF29b,,
AT1G36000,FIO1,,
AT3G05150,ATGSTU20,,
AT2G18440,GSTU20,,
AT4G12550,ATCSLC05,,
AT3G05625,ATCSLC5,,
AT1G58766,CSLC05,,
AT3G47960,CSLC5,,
AT5G45820,AtLFG1,,
AT1G65520,LFG1,,
AT1G51100,UBI10,,
AT1G50500,UBQ10,,
AT5G62200,AtDJ1C,,
AT4G27860,DJ-1c,,
AT2G42280,DJ1C,,
AT2G20830,PME5,,
AT4G13930,ATSPS4F,,
AT5G59780,ASHH3,,
AT4G05010,SDG7,,
AT3G43300,ATOCT2,,
AT1G07950,Oct-02,,
AT2G40940,Oct-02,,
AT3G26980,VPS24.1,,
AT5G41120,ATE2FB,,
AT5G43510,E2F1,,
AT3G01640,E2FB,,
AT1G65030,IAA10,,
AT4G34530,KINESIN-12A,,
AT5G39300,PAKRP1,,
AT4G34240,RALFL29,,
AT4G25640,ATOSM34,,
AT5G45280,OSM34,,
AT4G21080,MAA3,,
AT1G79490,scpl18,,
AT1G65032,ATBSMT1,,
AT1G20260,BSMT1,,
AT3G59530,BPS1,,
AT3G06910,ATSGS3,,
AT3G56590,SGS3,,
AT4G04940,ATPI4K GAMMA 7,,
AT5G15890,PI4K GAMMA 7,,
AT2G24210,UBDK GAMMA 7,,
AT4G34310,AtEMF2,,
AT4G12330,CYR1,,
AT1G10960,EMF2,,
AT4G04710,VEF2,,
AT5G43870,SPCH,,
AT3G59820,ABCB26,,
AT1G69290,ATTAP1,,
AT3G13670,TAP1,,
AT3G13672,CYP86,,
AT1G69295,CYP86A1,,
AT4G24950,HORST,,
AT2G05335,LOS1,,
AT5G52920,MIZ1,,
AT1G62020,DML1,,
AT5G43516,ROS1,,
AT2G17190,anac025,,
AT3G21400,NAC025,,
ATMG01230,EDA8,,
AT1G20080,MEE46,,
AT1G74170,AtNIP5;1,,
AT2G07715,NIP5;1,,
AT1G62930,NLM6,,
AT3G47210,NLM8,,
AT3G18660,LPAT3,,
AT2G01590,ATRPA1A,,
AT5G38640,ATRPA70A,,
AT3G12670,RPA1A,,
AT2G28260,RPA70A,,
AT5G04810,ITN1,,
AT5G47320,HEMG2,,
AT5G42830,MEE61,,
AT5G19010,PPO2,,
AT1G68520,BUB3.1,,
